"lon","lat","cellnumber_ERA","cellnumber_MAR","cellnumber_RACMO","Name","Short_Name","cellnumber_ERA5"
-49.32,69.57,1001,10011,139404,"SWISSCAMP_01","SWS",16034
-47,69.88,1003,9921,137669,"CRAWFORD_02","CRW",15529
-49.5,73.84,741,7039,102628,"NASAU_03","NSU",11664
-56.83,78.56,408,3482,58818,"HUMBOLDT_05","HUM",6752
-38.5,72.58,817,8118,116266,"SUMMIT_06","SUM",12993
-34,78.02,496,4188,68545,"TUNUN_07","TUN",7357
-46.28,66.48,1264,12320,167448,"DYE2_08","DYE2",19130
-49.68,69.5,1065,10010,139401,"JAR_09","JAR",16032
-44.5,66,1266,12709,172717,"SADDLE_10","SDL",19651
-44.82,63.15,1460,14723,197235,"SOUTHDOME_11","SDM",22477
-30,75,695,6214,94411,"NASAE_12","NSE",10457
-42.33,75.1,683,6287,93909,"NGRIP_14","NGR",10408
-42.5,66.48,1268,12428,169230,"NASASE_15","NSSE",19145
-50.06,69.42,1065,10105,139836,"JAR2_17","JAR2",16031
